Indicator,Sexe,Medii,2019,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2020,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,2021,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,2022,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,2023,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,2024,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,2025,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activi,Barbati,Urban,216.6,219.1,228.3,216.2,202.9,205.4,204.0,198.7,207.5,211.2,208.8,207.1,204.9,210.1,213.1,209.1,212.5,208.4,202.2,213.3,212.7,225.1,211.3,204.6,209.9,212.3,216.0,212.4,213.7,206.9,,204.0,210.4,222.8,
Activi,Barbati,Rural,258.3,255.1,264.2,267.2,246.5,248.8,232.8,252.0,263.9,246.6,252.0,233.5,265.7,270.6,238.0,251.0,230.4,262.2,256.6,254.6,255.7,244.0,255.8,274.7,248.2,223.1,216.1,233.8,237.4,205.1,,190.9,210.9,230.0,
Activi,Femei,Urban,208.9,198.7,212.1,220.0,204.7,189.9,189.9,183.7,192.5,193.3,183.0,181.4,177.9,186.1,186.7,199.1,191.2,199.7,205.4,200.2,220.2,219.2,214.2,215.6,231.6,229.3,233.8,222.7,227.7,232.9,,206.6,210.2,223.3,
Activi,Femei,Rural,235.5,225.7,238.4,244.3,233.6,223.3,213.9,223.2,229.6,226.4,227.9,211.9,225.6,241.5,232.5,230.8,220.1,230.2,237.6,235.6,240.9,227.7,253.8,252.3,229.9,224.4,230.6,231.2,231.3,204.6,,182.4,193.2,210.9,
Ocupati,Barbati,Urban,205.6,206.1,214.2,207.6,194.4,194.9,194.3,185.6,197.3,202.4,200.2,197.3,193.8,202.0,207.6,200.0,203.6,199.5,194.1,202.7,201.3,212.6,198.7,193.4,200.6,203.1,205.6,203.0,205.9,197.8,,190.5,201.5,214.1,
Ocupati,Barbati,Rural,241.8,226.2,250.2,256.2,234.6,239.5,222.3,243.2,256.7,235.9,242.8,219.6,260.2,262.9,228.6,243.8,222.4,258.8,253.0,240.9,243.8,227.7,248.2,264.4,235.0,215.7,207.2,226.2,230.9,198.4,,180.6,201.5,221.1,
Ocupati,Femei,Urban,199.1,189.0,204.0,208.4,195.0,182.7,182.2,175.8,185.4,187.2,179.0,175.9,172.1,183.8,184.2,193.6,187.4,194.4,199.3,193.4,210.7,210.0,205.6,205.5,221.8,220.3,225.3,213.6,218.3,224.0,,200.1,202.1,214.0,
Ocupati,Femei,Rural,225.9,207.8,232.7,237.7,225.6,217.1,207.5,216.9,223.9,220.0,221.5,205.2,216.5,237.1,227.0,225.0,215.1,226.2,233.2,225.5,231.0,215.1,247.0,244.6,217.3,214.9,218.7,222.4,221.9,196.6,,174.6,186.9,206.9,
Someri BIM,Barbati,Urban,11.1,13.0,14.1,8.6,8.5,10.4,9.7,13.1,10.2,8.7,8.6,9.8,11.1,8.1,5.5,9.1,8.9,8.8,8.2,10.6,11.4,12.5,12.6,11.2,9.4,9.2,10.3,9.4,7.8,9.1,,13.4,9.0,8.8,
Someri BIM,Barbati,Rural,16.5,29.0,14.0,11.0,11.9,9.3,10.4,8.8,7.2,10.7,9.1,13.9,5.5,7.7,9.4,7.2,8.1,3.4,3.6,13.7,11.8,16.4,7.6,10.3,13.1,7.4,8.9,7.5,6.6,6.7,,10.2,9.5,8.9,
Someri BIM,Femei,Urban,9.8,9.7,8.1,11.6,9.6,7.2,7.7,7.9,7.1,6.0,4.0,5.5,5.8,2.4,2.5,5.5,3.8,5.3,6.1,6.8,9.4,9.2,8.6,10.0,9.8,9.0,8.6,9.2,9.4,8.9,,6.5,8.1,9.3,
Someri BIM,Femei,Rural,9.5,17.9,5.7,6.6,8.0,6.2,6.4,6.4,5.7,6.3,6.4,6.7,9.1,4.4,5.5,5.9,4.9,4.0,4.4,10.1,9.9,12.7,6.8,7.7,12.6,9.5,11.9,8.8,9.4,8.0,,7.7,6.2,4.1,
